countrycode,year,Ic_Struc,Ic_Mach,Ic_TraEq,Ic_Other,Ip_Struc,Ip_Mach,Ip_TraEq,Ip_Other,Nc_Struc,Nc_Mach,Nc_TraEq,Nc_Other,Np_Struc,Np_Mach,Np_TraEq,Np_Other,Dc_Struc,Dc_Mach,Dc_TraEq,Dc_Other,Kc_Struc,Kc_Mach,Kc_TraEq,Kc_Other,Kp_Struc,Kp_Mach,Kp_TraEq,Kp_Other,Ksh_Struc,Ksh_Mach,Ksh_TraEq,Ksh_Other
ABW,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,1970,86,4,14,0,1,3,1,8,666,75,34,0,1,2,1,8,14,10,6,0,,,,,,,,,,,,
ABW,1971,91,4,14,0,1,3,1,7,719,67,40,0,1,2,1,7,15,9,8,0,,,,,,,,,,,,
ABW,1972,96,4,15,0,1,2,1,7,773,61,45,0,1,2,1,7,17,8,9,0,,,,,,,,,,,,
ABW,1973,101,5,16,0,1,2,1,6,828,56,49,0,1,2,1,6,18,8,10,0,,,,,,,,,,,,
ABW,1974,106,5,17,0,1,2,1,6,886,52,54,0,1,2,1,6,20,7,11,0,,,,,,,,,,,,
ABW,1975,112,5,18,0,1,2,1,5,945,49,58,0,1,2,1,5,22,7,11,0,,,,,,,,,,,,
ABW,1976,118,6,19,0,1,2,1,5,1007,46,62,0,1,2,1,5,23,6,12,0,,,,,,,,,,,,
ABW,1977,124,6,20,0,1,2,1,4,1071,44,66,0,1,2,1,4,25,6,13,0,,,,,,,,,,,,
ABW,1978,130,6,21,0,1,2,1,4,1138,43,71,0,1,2,1,4,27,6,14,0,,,,,,,,,,,,
ABW,1979,137,6,22,0,1,2,1,4,1207,42,75,0,1,2,1,4,29,5,15,0,,,,,,,,,,,,
ABW,1980,145,7,23,0,1,2,1,3,1279,41,79,0,1,1,1,3,31,5,16,0,,,,,,,,,,,,
ABW,1981,152,7,24,0,1,2,1,3,1355,42,84,0,1,1,1,3,33,5,17,0,,,,,,,,,,,,
ABW,1982,161,8,25,0,1,1,1,3,1434,42,89,0,1,1,1,3,35,5,18,0,,,,,,,,,,,,
ABW,1983,169,8,27,0,0,1,0,3,1516,43,93,0,0,1,0,3,37,5,19,0,,,,,,,,,,,,
ABW,1984,178,8,28,0,0,1,0,2,1602,44,99,0,0,1,0,2,39,6,20,0,,,,,,,,,,,,
ABW,1985,188,9,30,0,0,1,0,2,1693,46,104,0,0,1,0,2,42,6,21,0,,,,,,,,,,,,
ABW,1986,198,9,31,0,0,1,0,2,1788,47,110,0,0,1,0,2,44,6,22,0,,,,,,,,,,,,
ABW,1987,238,11,37,0,0,1,0,2,2038,53,126,0,0,1,0,2,51,7,25,0,,,,,,,,,,,,
ABW,1988,291,14,46,0,0,1,0,2,2337,60,147,0,0,1,0,2,58,7,29,0,,,,,,,,,,,,
ABW,1989,342,16,51,0,0,1,0,2,2702,69,170,0,0,1,0,2,67,8,34,0,,,,,,,,,,,,
ABW,1990,353,17,78,0,1,1,1,2,3127,79,216,0,1,1,1,2,79,10,41,0,,,,,,,,,,,,
ABW,1991,424,20,71,0,1,1,1,2,3661,91,250,0,1,1,1,2,92,11,50,0,515,23,76,0,1,2,1,2,1,0,0,0
ABW,1992,485,23,56,0,1,1,1,2,4146,103,259,0,1,1,1,2,104,13,54,0,571,26,78,0,1,2,1,2,1,0,0,0
ABW,1993,561,26,37,0,1,2,1,2,4780,118,254,0,1,1,1,2,121,14,55,0,657,30,76,0,1,2,1,2,1,0,0,0
ABW,1994,702,32,18,0,1,2,1,2,5839,141,244,0,1,1,1,2,147,17,55,0,771,35,72,0,2,2,1,2,1,0,0,0
ABW,1995,569,61,92,0,1,1,1,2,5748,171,264,0,1,1,1,2,147,19,51,0,753,41,78,0,1,2,1,2,1,0,0,0
ABW,1996,564,54,82,0,1,2,1,2,6341,204,295,0,1,1,1,2,163,25,59,0,805,48,86,0,1,2,1,2,1,0,0,0
ABW,1997,704,49,83,0,1,2,1,2,7052,229,321,0,1,1,1,2,180,28,65,0,902,54,93,0,1,2,1,2,1,0,0,0
ABW,1998,779,36,105,0,1,1,1,1,7449,228,349,0,1,1,1,1,190,29,69,0,973,55,102,0,1,2,1,2,1,0,0,0
ABW,1999,866,46,59,0,1,1,1,2,8522,246,352,0,1,1,1,2,218,31,75,0,959,58,97,0,1,2,1,2,1,0,0,0
ABW,2000,647,82,77,0,1,1,1,1,9227,292,366,0,1,1,1,1,240,35,76,0,1023,67,100,0,1,2,1,1,1,0,0,0
ABW,2001,610,84,74,0,1,1,1,1,8966,320,343,0,1,1,1,1,233,38,71,0,1035,75,95,0,1,2,1,1,1,0,0,0
ABW,2002,692,98,92,0,1,1,1,1,9571,371,367,0,1,1,1,1,248,45,75,0,1057,90,100,0,1,2,1,1,1,0,0,0
ABW,2003,792,93,94,0,1,1,1,1,10122,396,383,0,1,1,1,1,261,49,78,0,1097,97,104,0,1,2,1,1,1,0,0,0
ABW,2004,875,97,102,0,1,1,1,1,10961,431,411,0,1,1,1,1,283,53,84,0,1214,106,112,0,1,2,1,1,1,0,0,0
ABW,2005,1123,93,123,0,1,1,1,1,12267,470,459,0,1,1,1,1,315,59,93,0,1264,113,122,0,1,2,1,1,1,0,0,0
ABW,2006,1232,109,121,0,1,1,1,1,13472,513,492,0,1,1,1,1,346,64,100,0,1320,121,128,0,1,2,1,1,1,0,0,0
ABW,2007,1237,116,94,0,1,1,1,1,14686,560,494,0,1,1,1,1,378,70,104,0,1442,130,129,0,1,2,1,1,1,0,0,0
ABW,2008,1303,143,109,0,1,1,1,1,16356,632,521,0,1,1,1,1,422,78,109,0,1530,143,134,0,1,2,1,1,1,0,0,0
ABW,2009,1000,171,88,6,1,1,1,1,16523,687,492,5,1,1,1,1,431,84,104,1,1347,153,120,2,1,1,1,1,1,0,0,0
ABW,2010,928,144,93,6,1,1,1,1,17557,724,497,8,1,1,1,1,459,92,105,2,1283,155,117,3,1,1,1,1,1,0,0,0
ABW,2011,950,164,101,6,1,1,1,1,18654,801,509,11,1,1,1,1,487,101,107,4,1381,170,121,4,1,1,1,1,1,0,0,0
ABW,2012,776,159,86,5,1,1,1,1,18968,828,492,11,1,1,1,1,498,105,105,4,1365,176,116,5,1,1,1,1,1,0,0,0
ABW,2013,800,190,92,5,1,1,1,1,19314,877,483,12,1,1,1,1,506,110,102,4,1423,190,114,5,1,1,1,1,1,0,0,0
ABW,2014,771,211,92,5,1,1,1,1,20195,958,487,13,1,1,1,1,529,120,103,5,1455,199,115,5,1,1,1,1,1,0,0,0
ABW,2015,739,231,91,5,1,1,1,1,20985,1053,490,13,1,1,1,1,550,133,103,5,1541,220,116,5,1,1,1,1,1,0,0,0
ABW,2016,688,242,88,5,1,1,1,1,20144,1079,458,13,1,1,1,1,527,136,96,5,1549,231,110,5,1,1,1,1,1,0,0,0
ABW,2017,691,274,92,5,1,1,1,1,20096,1163,451,13,1,1,1,1,525,145,94,5,1596,254,109,5,1,1,1,1,1,0,0,0
ABW,2018,796,332,104,6,1,1,1,1,23204,1418,513,13,1,1,1,1,605,178,107,5,1670,285,121,5,1,1,1,1,1,0,0,0
ABW,2019,814,373,96,5,1,1,1,1,23967,1606,513,14,1,1,1,1,625,202,108,5,1713,318,121,6,1,1,1,1,1,0,0,0
ABW,2020,658,327,85,5,1,1,1,1,25328,1750,517,13,1,1,1,1,662,226,111,5,1161,302,108,6,1,1,1,1,1,0,0,0
ABW,2021,731,323,84,5,1,1,1,1,25341,1792,495,12,1,1,1,1,660,232,105,4,1427,321,109,5,1,1,1,1,1,0,0,0
ABW,2022,800,336,87,5,1,1,1,1,24763,1832,469,12,1,1,1,1,643,237,99,4,1618,352,107,6,1,1,1,1,1,0,0,0
ABW,2023,905,390,102,6,1,1,1,1,36343,2584,650,13,1,1,1,1,945,341,140,5,1730,444,137,6,1,1,1,1,1,0,0,0
AGO,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
AGO,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AGO,1994,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AGO,1995,3,1,0,0,0,0,0,0,51,4,1,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,1,0,0,0
AGO,1996,224,124,35,4,0,0,0,0,2735,289,54,5,0,0,0,0,76,33,8,1,635,129,31,4,0,0,0,0,1,0,0,0
AGO,1997,411,166,15,5,0,0,0,0,5685,652,99,11,0,0,0,0,159,83,21,4,1307,300,58,10,0,0,0,0,1,0,0,0
AGO,1998,875,278,28,10,0,0,0,0,8849,1072,142,19,0,0,0,0,245,136,30,6,1848,476,81,15,0,0,0,0,1,0,0,0
AGO,1999,4057,1960,245,65,0,0,0,0,60396,7913,978,146,0,0,0,0,1703,1010,199,45,12305,3438,562,114,0,0,0,0,1,0,0,0
AGO,2000,9931,3982,288,151,0,0,0,0,246714,32279,3464,640,0,0,0,0,7064,4413,774,230,68424,16419,2262,547,0,0,0,0,1,0,0,0
AGO,2001,23286,9863,1842,326,0,0,0,0,665265,81585,9197,1270,0,0,0,0,19110,11109,1929,429,142012,39754,5424,1289,0,0,0,0,1,0,0,0
AGO,2002,141191,42336,16902,1360,0,0,0,0,3577463,392259,54980,3925,0,0,0,0,102578,53642,10843,1084,316158,131273,25453,2948,0,0,0,0,1,0,0,0
AGO,2003,251819,95435,44547,2558,0,0,0,0,6275475,681651,117659,7416,0,0,0,0,179988,91760,22229,2145,635608,242949,56316,5942,0,0,0,0,1,0,0,0
AGO,2004,374659,132322,91583,3665,0,0,0,0,8241641,888211,206137,10081,0,0,0,0,235918,119038,37368,2943,975923,340025,99510,9468,0,0,0,0,1,0,0,0
AGO,2005,588865,196362,106411,3927,0,0,0,0,11197374,1211656,318027,13350,0,0,0,0,319707,161147,61716,4143,1827968,478486,159270,10946,0,0,0,0,1,0,0,0
AGO,2006,630733,199041,89379,4791,0,0,0,0,11398286,1240489,336448,14727,0,0,0,0,325415,165005,67993,4616,2476842,537943,186492,10549,0,0,0,0,1,0,0,0
AGO,2007,910953,245855,91476,11103,0,0,0,0,14377126,1524528,414993,21171,0,0,0,0,409405,202657,86053,5579,2906119,646616,222564,15448,0,0,0,0,1,0,0,0
AGO,2008,1144233,554640,214844,27469,0,0,0,0,18311926,2139102,608659,43210,0,0,0,0,522563,269560,116811,9539,3678219,914212,324045,30099,0,0,0,0,1,0,0,0
AGO,2009,1480789,622876,247055,35963,0,0,0,0,21481680,2635548,779357,65031,0,0,0,0,612038,336276,152838,12809,2205136,947377,378075,36916,0,0,0,0,1,0,0,0
AGO,2010,1207544,766197,135483,65453,0,0,0,0,22054604,3046086,754716,114477,0,0,0,0,633894,386060,160097,21545,3779131,1171501,375830,61369,0,0,0,0,1,0,0,0
AGO,2011,1523473,870143,277970,99865,1,1,1,0,26257506,3904390,959072,198934,1,1,1,0,754280,503613,191118,37654,5327311,1566483,487726,104253,0,0,0,0,1,0,0,0
AGO,2012,2027982,793297,341045,99395,1,1,1,0,29957554,4444738,1161554,262639,1,1,1,1,857466,587913,230956,51452,6281816,1782112,579950,134768,0,0,0,0,1,0,0,0
AGO,2013,2338983,490616,526047,95969,1,1,1,0,32592392,4468023,1456979,305221,1,1,1,1,932423,613515,278246,60923,6897177,1731853,711373,146181,0,0,0,0,1,0,0,0
AGO,2014,2644492,915297,264942,111295,1,1,1,1,37544324,5090875,1544198,368488,1,1,1,1,1076533,673245,328997,72332,7361961,1934503,716586,174592,0,0,0,0,1,0,0,0
AGO,2015,2668745,796230,358250,112098,1,1,1,1,39959952,5224530,1606642,403656,1,1,1,1,1149564,701245,332677,78884,6337150,1851105,698149,180613,0,0,0,0,1,0,0,0
AGO,2016,3239732,738190,238619,121632,1,1,1,1,49541300,6089972,1772401,503195,1,1,1,1,1427963,831465,385246,100011,7814240,2096655,752933,218218,0,0,0,0,1,0,0,0
AGO,2017,3425615,776717,375283,131812,1,1,1,1,69401568,7904276,2312650,671151,1,1,1,1,2018650,1091048,495224,132642,9567706,2478327,929556,262883,0,1,1,1,1,0,0,0
AGO,2018,3023321,1001067,228766,153459,1,1,1,1,69903112,7907022,2069697,702017,1,1,1,1,2040378,1077402,455677,143235,13140495,2783737,922279,303439,0,1,1,1,1,0,0,0
AGO,2019,3387090,1114770,251794,171267,1,1,1,1,76249136,8475817,2030998,774807,1,1,1,1,2224895,1153327,443976,162478,16145088,3084233,946375,342252,1,1,1,1,1,0,0,0
AGO,2020,2871671,900616,123332,140303,1,1,1,1,67072712,7428231,1540876,695002,1,1,1,1,1959253,1017985,344724,153918,18474356,2975832,803007,329506,1,1,1,1,1,0,0,0
AGO,2021,3006533,905286,252747,148698,1,1,1,1,69111064,7696346,1498083,734471,1,1,1,1,2018565,1058326,319671,168617,28867838,4004457,977033,438164,1,1,1,1,1,0,0,0
AGO,2022,3426135,1040626,307137,170236,1,1,1,1,75371728,8165440,1581560,779847,1,1,1,1,2199839,1115560,332787,173936,34202412,4723934,1088520,519834,1,1,1,1,1,0,0,0
